,cluster_0,cluster_1
support,1.3479475790831925,-0.3546770403316424
shortest_distance,-0.5919357193452449,-0.602573893987224
contact_proportion,1.5492079623486792,6.547134492818159
above_proportion,0.2253848618886675,-0.9059561524155018
below_proportion,-0.7460413572333764,-0.7484621051199398
bbox_overlap_proportion,1.9108259253106032,4.484547264095121
horizontal_distance,-0.8612694616565432,-0.5816543166231911
f_covers_g,0.16317345795793375,-0.008334287057094061
g_covers_f,1.0305368585109242,1.5240177774945138
location_control,1.3589288848662047,1.782450875037032
