,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
ground_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support,0.19681142353693218,0.2496841894586381,0.05056185654173786,0.1763080479646205,0.04334292471860257,0.17861764314024262,0.05610672727160202,0.137186508044332
ground_verticality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_distance,0.0778164426680546,0.08843025747330063,0.03026577001652877,0.036987038102660574,0.020144966244543715,0.013668028474437214,0.00045709187009029557,0.012774776410539167
contact_proportion,0.07391268492327438,0.02981077597309642,0.03166110907039354,0.09379478098667979,0.005378917837543756,0.024745967480550423,0.058770552498469256,0.0016718994961556328
above_proportion,0.02595348293705683,0.0653275217371512,0.015038386233148435,0.029098720574553483,0.018483741793508965,0.016644894584848604,0.02817167382866329,0.05697443889666446
below_proportion,0.028316412271234683,0.04574660543736846,0.014746109707286677,0.010092622112160513,0.020445089306986335,0.02317191791907348,0.0250949674496704,0.06321587650253974
bbox_overlap_proportion,0.06985981856920105,0.053410455608539256,0.03069021892233035,0.03529471113881856,0.017346853480213142,0.03823748505566859,0.00589776947852548,0.022637126599399836
horizontal_distance,0.054842485304745905,0.05809766167301879,0.02033777471539461,0.032345450444732006,0.015506580608700669,0.015276525878718672,0.00023794557372328138,0.028526540001200387
f_covers_g,0.0704922801207624,0.055144198619743824,0.027972104201061287,0.041802448815789636,0.019664238291571323,0.01776773768461627,0.002186371334297808,0.0073829384208494156
g_covers_f,0.0769534444102663,0.04738285636546822,0.040506443284187385,0.0232874491388015,0.03270498296940986,0.026227846957440647,0.0011474764487203954,0.0021083191474698375
location_control,0.08840317027520637,0.06444669861304327,0.023725501479532143,0.09346705825444754,0.006913838013733631,0.02254272088656019,0.03900970570231291,0.035930935221245144
